date,Banks,Financials,Oil_Gas,Basic_Materials,Industrials,Technology,Utilities,Health_Care,Consumer_Services,Consumer_Goods
2021-08-24 00:00:00,0.00246179,-0.006077688,0.008934929,-0.003751044,-0.018406729,0.008979346,-0.001456565,-0.006780396,0.008616616,0.002688732
2021-08-25 00:00:00,0.004430266,0.001455751,0.011481895,0.015187635,0.008312245,-0.000180345,0.018640459,-0.002872408,0.018184466,0.023773122
2021-08-26 00:00:00,-0.012724096,-0.007615704,-0.011169834,0.000953525,0.027714433,-0.005140603,-0.001317702,0.011700527,0.002687702,0.000228742
2021-08-27 00:00:00,-0.000264808,0.010677056,0.005290194,0.015471928,0.015324401,0.007354018,0.02098933,0.047349427,0.004889416,0.006366153
2021-08-30 00:00:00,0.017375968,0.006715464,0.017688687,0.019883587,0.008059171,0.004488971,0.013730414,0.062147518,0.007174296,0.002653726
2021-08-31 00:00:00,-0.007433742,0.005437078,0.015731681,0.015844374,0.00362363,0.00500384,0.014741662,0.017435944,-0.000230627,0.006014585
2021-09-01 00:00:00,-0.001813367,0.00321296,0.006283683,0.015418926,0.010514419,0.000458283,0.011286174,-0.021967709,-0.004855501,-0.002603038
2021-09-06 00:00:00,0.004455942,0.010317031,0.010976082,0.018061176,0.009381192,0.027243484,0.011592731,-0.023179741,0.008654067,0.00265503
2021-09-07 00:00:00,0.01603808,-0.0046863,-0.013664255,-0.011626399,-0.012049294,-0.014621749,-0.014025122,-0.014351696,0.000689101,-0.009332356
2021-09-08 00:00:00,-0.008671084,-0.008535152,-0.020089793,0.004807872,-0.001236908,-0.004282122,-0.009814231,-0.004678067,0.00309509,-0.005842071
2021-09-09 00:00:00,0.004615139,2.20349e-05,0.015443153,0.01466882,0.021291267,0.003980456,0.009745277,-0.00381711,0.03817686,0.005334656
2021-09-10 00:00:00,-0.00164582,0.002618695,-0.001353078,-0.001182321,0.005456827,0.003914587,0.007173198,-0.000130757,0.014003073,0.009042267
